{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'}
{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM'}
{'pid': 84, 'name': 'services.exe', 'username': None}
{'pid': 124, 'name': 'Registry', 'username': None}
{'pid': 144, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 340, 'name': 'lsass.exe', 'username': None}
{'pid': 388, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 464, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 520, 'name': 'smss.exe', 'username': None}
{'pid': 808, 'name': 'svchost.exe', 'username': None}
{'pid': 840, 'name': 'dllhost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 852, 'name': 'csrss.exe', 'username': None}
{'pid': 956, 'name': 'wininit.exe', 'username': None}
{'pid': 992, 'name': 'RuntimeBroker.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 1032, 'name': 'fontdrvhost.exe', 'username': None}
{'pid': 1064, 'name': 'svchost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 1188, 'name': 'svchost.exe', 'username': None}
{'pid': 1208, 'name': 'python.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 1256, 'name': 'svchost.exe', 'username': None}
{'pid': 1268, 'name': 'jupyter-notebook.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 1284, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 1328, 'name': 'WUDFHost.exe', 'username': None}
{'pid': 1380, 'name': 'WinStore.App.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 1388, 'name': 'svchost.exe', 'username': None}
{'pid': 1444, 'name': 'SettingSyncHost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 1464, 'name': 'WUDFHost.exe', 'username': None}
{'pid': 1580, 'name': 'SearchApp.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 1632, 'name': 'svchost.exe', 'username': None}
{'pid': 1652, 'name': 'svchost.exe', 'username': None}
{'pid': 1664, 'name': 'svchost.exe', 'username': None}
{'pid': 1672, 'name': 'svchost.exe', 'username': None}
{'pid': 1824, 'name': 'svchost.exe', 'username': None}
{'pid': 1844, 'name': 'svchost.exe', 'username': None}
{'pid': 1960, 'name': 'svchost.exe', 'username': None}
{'pid': 1968, 'name': 'svchost.exe', 'username': None}
{'pid': 1988, 'name': 'IntelCpHDCPSvc.exe', 'username': None}
{'pid': 2000, 'name': 'svchost.exe', 'username': None}
{'pid': 2028, 'name': 'svchost.exe', 'username': None}
{'pid': 2096, 'name': 'python.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 2152, 'name': 'svchost.exe', 'username': None}
{'pid': 2188, 'name': 'svchost.exe', 'username': None}
{'pid': 2212, 'name': 'sihost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 2272, 'name': 'RuntimeBroker.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 2308, 'name': 'svchost.exe', 'username': None}
{'pid': 2316, 'name': 'IntelCpHeciSvc.exe', 'username': None}
{'pid': 2332, 'name': 'Lenovo.Modern.ImController.PluginHost.CompanionApp.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 2368, 'name': 'svchost.exe', 'username': None}
{'pid': 2380, 'name': 'svchost.exe', 'username': None}
{'pid': 2396, 'name': 'svchost.exe', 'username': None}
{'pid': 2404, 'name': 'svchost.exe', 'username': None}
{'pid': 2408, 'name': 'svchost.exe', 'username': None}
{'pid': 2536, 'name': 'notepad++.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 2612, 'name': 'igfxCUIService.exe', 'username': None}
{'pid': 2640, 'name': 'SUService.exe', 'username': None}
{'pid': 2660, 'name': 'svchost.exe', 'username': None}
{'pid': 2684, 'name': 'svchost.exe', 'username': None}
{'pid': 2796, 'name': 'svchost.exe', 'username': None}
{'pid': 2896, 'name': 'svchost.exe', 'username': None}
{'pid': 2916, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
