{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM'}
{'name': 'services.exe', 'pid': 84, 'username': None}
{'name': 'Registry', 'pid': 124, 'username': None}
{'name': 'lsass.exe', 'pid': 340, 'username': None}
{'name': 'smss.exe', 'pid': 520, 'username': None}
{'name': 'conhost.exe', 'pid': 640, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 808, 'username': None}
{'name': 'chrome.exe', 'pid': 820, 'username': 'RAMBO-2684\\Legion'}
{'name': 'dllhost.exe', 'pid': 840, 'username': 'RAMBO-2684\\Legion'}
{'name': 'csrss.exe', 'pid': 852, 'username': None}
{'name': 'wininit.exe', 'pid': 956, 'username': None}
{'name': 'RuntimeBroker.exe', 'pid': 992, 'username': 'RAMBO-2684\\Legion'}
{'name': 'fontdrvhost.exe', 'pid': 1032, 'username': None}
{'name': 'svchost.exe', 'pid': 1064, 'username': 'RAMBO-2684\\Legion'}
{'name': 'chrome.exe', 'pid': 1168, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 1188, 'username': None}
{'name': 'python.exe', 'pid': 1208, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 1256, 'username': None}
{'name': 'jupyter-notebook.exe', 'pid': 1268, 'username': 'RAMBO-2684\\Legion'}
{'name': 'WUDFHost.exe', 'pid': 1328, 'username': None}
{'name': 'WinStore.App.exe', 'pid': 1380, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 1388, 'username': None}
{'name': 'SettingSyncHost.exe', 'pid': 1444, 'username': 'RAMBO-2684\\Legion'}
{'name': 'WUDFHost.exe', 'pid': 1464, 'username': None}
{'name': 'Lenovo.Modern.ImController.PluginHost.SettingsApp.exe', 'pid': 1512, 'username': 'RAMBO-2684\\Legion'}
{'name': 'SearchApp.exe', 'pid': 1580, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 1632, 'username': None}
{'name': 'svchost.exe', 'pid': 1652, 'username': None}
{'name': 'svchost.exe', 'pid': 1664, 'username': None}
{'name': 'svchost.exe', 'pid': 1672, 'username': None}
{'name': 'svchost.exe', 'pid': 1824, 'username': None}
{'name': 'svchost.exe', 'pid': 1844, 'username': None}
{'name': 'SearchProtocolHost.exe', 'pid': 1892, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 1960, 'username': None}
{'name': 'svchost.exe', 'pid': 1968, 'username': None}
{'name': 'IntelCpHDCPSvc.exe', 'pid': 1988, 'username': None}
{'name': 'svchost.exe', 'pid': 2000, 'username': None}
{'name': 'svchost.exe', 'pid': 2028, 'username': None}
{'name': 'svchost.exe', 'pid': 2152, 'username': None}
{'name': 'svchost.exe', 'pid': 2188, 'username': None}
{'name': 'sihost.exe', 'pid': 2212, 'username': 'RAMBO-2684\\Legion'}
{'name': 'RuntimeBroker.exe', 'pid': 2272, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 2308, 'username': None}
{'name': 'IntelCpHeciSvc.exe', 'pid': 2316, 'username': None}
{'name': 'svchost.exe', 'pid': 2368, 'username': None}
{'name': 'svchost.exe', 'pid': 2380, 'username': None}
{'name': 'svchost.exe', 'pid': 2396, 'username': None}
{'name': 'svchost.exe', 'pid': 2404, 'username': None}
{'name': 'svchost.exe', 'pid': 2408, 'username': None}
{'name': 'igfxCUIService.exe', 'pid': 2612, 'username': None}
{'name': 'SUService.exe', 'pid': 2640, 'username': None}
{'name': 'svchost.exe', 'pid': 2660, 'username': None}
{'name': 'svchost.exe', 'pid': 2684, 'username': None}
{'name': 'svchost.exe', 'pid': 2796, 'username': None}
{'name': 'svchost.exe', 'pid': 2896, 'username': None}
{'name': 'svchost.exe', 'pid': 2952, 'username': None}
{'name': 'svchost.exe', 'pid': 2964, 'username': None}
{'name': 'svchost.exe', 'pid': 3040, 'username': None}
{'name': 'svchost.exe', 'pid': 3136, 'username': None}
{'name': 'svchost.exe', 'pid': 3160, 'username': None}
{'name': 'svchost.exe', 'pid': 3168, 'username': None}
{'name': 'svchost.exe', 'pid': 3232, 'username': None}
{'name': 'svchost.exe', 'pid': 3272, 'username': None}
{'name': 'dasHost.exe', 'pid': 3432, 'username': None}
{'name': 'SystemSettings.exe', 'pid': 3576, 'username': 'RAMBO-2684\\Legion'}
{'name': 'PresentationFontCache.exe', 'pid': 3596, 'username': None}
{'name': 'chrome.exe', 'pid': 3732, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 3792, 'username': None}
{'name': 'SearchProtocolHost.exe', 'pid': 3964, 'username': None}
{'name': 'RuntimeBroker.exe', 'pid': 3984, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 4004, 'username': None}
{'name': 'YourPhone.exe', 'pid': 4024, 'username': 'RAMBO-2684\\Legion'}
{'name': 'SearchIndexer.exe', 'pid': 4060, 'username': None}
{'name': 'python.exe', 'pid': 4104, 'username': 'RAMBO-2684\\Legion'}
{'name': 'ARWSRVC.EXE', 'pid': 4124, 'username': None}
{'name': 'SCSECSVC.EXE', 'pid': 4132, 'username': None}
{'name': 'msedge.exe', 'pid': 4180, 'username': 'RAMBO-2684\\Legion'}
{'name': 'NVDisplay.Container.exe', 'pid': 4220, 'username': None}
{'name': 'BSSISS.EXE', 'pid': 4380, 'username': None}
{'name': 'svchost.exe', 'pid': 4388, 'username': None}
{'name': 'svchost.exe', 'pid': 4416, 'username': None}
{'name': 'svchost.exe', 'pid': 4556, 'username': None}
{'name': 'svchost.exe', 'pid': 4564, 'username': None}
{'name': 'MemCompression', 'pid': 4584, 'username': None}
{'name': 'svchost.exe', 'pid': 4704, 'username': None}
{'name': 'svchost.exe', 'pid': 4716, 'username': None}
{'name': 'conhost.exe', 'pid': 4928, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 5180, 'username': None}
{'name': 'svchost.exe', 'pid': 5280, 'username': None}
{'name': 'svchost.exe', 'pid': 5300, 'username': None}
{'name': 'chrome.exe', 'pid': 5460, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 5544, 'username': None}
{'name': 'LMS.exe', 'pid': 5560, 'username': None}
{'name': 'svchost.exe', 'pid': 5572, 'username': None}
{'name': 'svchost.exe', 'pid': 5668, 'username': 'RAMBO-2684\\Legion'}
{'name': 'svchost.exe', 'pid': 5700, 'username': None}
{'name': 'Lenovo Migration Assistant Srv.exe', 'pid': 5752, 'username': 'RAMBO-2684\\Legion'}
{'name': 'WmiPrvSE.exe', 'pid': 5756, 'username': None}
